"EGFRi",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.32627644741176254,0.,0.,0.,0.,0.,0.,0.28728355907804237,0.2797601211421722,0.,0.,0.24470486565694488,0.2374903925395822,0.,0.,0.,0.,0.2022941661057762,0.,0.,0.,0.18489234703832197,0.17816824787746477,0.,0.,0.,0.,0.,0.1457488255090277,0.,0.10963426623212881,0.,0.,0.,0.
"IGF1Ri",0.,0.,0.,0.15425528762585966,0.11140375066089835,0.,0.,0.,0.11453872416108621,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
"RAFi",0.,0.,1.,0.9999996999802759,0.,0.,0.,0.,0.,0.,0.9999997247312162,1.,1.,0.,0.,0.,1.,1.,1.,1.,0.,0.,1.,0.,0.,0.,1.,1.,0.,0.,0.,0.,1.,0.9999994797777902,0.,0.,0.,0.9999999855595921,0.9999999486128298,0.,0.,0.,0.9999999999999996,0.9999996532303942
"MEKi",0.,0.,0.,1.,1.,1.,0.,1.,1.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,1.,1.,1.,1.,0.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
"ERKi",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.4999679800146449,0.,0.,0.,0.,0.441584709780185,0.4350277130152586,0.,0.,0.,0.38114727297227935,0.37434830883141806,0.,0.,0.31939847612786604,0.,0.,0.,0.,0.,0.,0.2933955737359842,0.286224301740607,0.,0.,0.2342019612750413,0.,0.17825202656866265,0.,0.,0.
"GSK3i",0.9999999963988041,0.9999999919504091,0.9999999889564655,0.,0.,0.,0.,0.,0.9999999801289511,0.,0.,0.,0.,0.,0.999999983057365,0.9999999999999999,0.,0.,0.,0.,0.9999999877474838,0.9999999999999999,0.9999999926013559,0.9999999619902289,0.9999999999999999,0.9999999999999999,0.9999999919220186,0.9999999913902979,0.,0.,0.,0.,0.9999999999999999,0.,0.,0.,0.9999999903350627,0.,0.,0.9999999888000002,0.9999999883457104,0.9999999865861103,0.,0.9999999837126629
"PI3Ki",0.8721676154932352,1.,0.999999929723345,0.,0.,0.9521972198763387,0.,0.6029519117120136,0.,0.,0.7585293554351078,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.5737508228449189,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
"AKTi",0.,0.,0.,0.,0.,0.,0.21573659132505607,0.,0.,0.,0.,0.18807196212204247,0.18596926820291387,0.,0.1616949478575947,0.1583121891370265,0.,0.,0.,0.,0.,0.,0.1348195457557932,0.,0.,0.,0.,0.,0.12346681830414098,0.11817768674656104,0.,0.,0.,0.09810453329057355,0.,0.,0.07431091381586163,0.,0.,0.,0.,0.,0.,0.
"mTORi",1.,0.,0.,0.,1.,0.,0.017490071533237835,1.,0.,0.10520234880765963,0.,0.,0.048519718333096075,0.06150243898587972,0.,0.07944160662191407,0.,0.10520430532918315,0.,0.06578779299317697,0.,0.10519831611694659,0.,0.,0.06959720814827948,0.,0.,0.,0.,0.12885760886965794,0.,0.10529806688962902,1.,0.,0.,0.07549346986374145,0.,0.,0.,0.,0.,1.,1.0000000000000016,0.
"Predicted Selectiviy",0.0997824075298247,0.09758419069532187,0.09358166518796962,0.0815841521686359,0.07618512331737848,0.07499173854983054,0.06402888942203644,0.06279190876128338,0.06252602356607906,0.059273247100211646,0.058748745340814756,0.05847900441326026,0.0584498201355933,0.056530262355854344,0.055882390757261646,0.055809091305386915,0.05291200222795245,0.05279534873887293,0.050640540001816725,0.050593015303972755,0.04983552267895397,0.04971564079517754,0.0495258418499418,0.04802288630839069,0.0479703341528398,0.04637054418760189,0.043392887479879017,0.042014026611071675,0.03330716359828101,0.03313745879752594,0.027318664525751157,0.027202802347233934,0.026827727320499095,0.02651123829951385,0.026101736870911774,0.026040583101714865,0.02272231001157643,0.020985233361808797,0.02011254924946826,0.01797738356580958,0.017386162426934693,0.014359329776003404,0.010964891544698818,-0.003810032530447538
