"EGFRi",0.,0.,0.,0.,0.,0.,0.,0.,0.2926051726993841,0.,0.,0.,0.,0.18989611152478342,0.3627795998028644,0.,0.,0.,0.4399620023632806,0.,0.,0.,0.07523911568019401,0.,0.22607652061570804,0.,0.,0.2926042504207078,0.,0.,0.
"IGF1Ri",1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,0.9999999999915004,1.,1.,1.,1.,0.9999998821210275,1.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
"RAFi",0.,1.,0.,1.,0.,1.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.
"MEKi",0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,1.,1.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
"ERKi",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.44290067797811555,0.,0.,0.,0.,0.,0.24448110401006376,0.5365430525476672,0.,0.,0.,0.6347044417537767,0.,0.,0.0938477419145287,0.,0.,0.34997753981050755,0.,0.442900706547678,0.,0.
"GSK3i",0.,0.,1.0000000000000024,0.,0.9999999999999999,0.9999999999999999,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.9999999999999999,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.9999999999999999
"PI3Ki",1.,1.,1.0000000000000004,0.,0.,0.,1.,0.9999999938169803,1.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.9999999419459786,0.999999993599248,0.9999998012842073,1.,1.,0.9999999892174053,1.,1.,1.
"AKTi",0.,0.,0.,0.,0.,0.,0.,0.19495980800836943,0.,0.,0.,0.,0.2347047515224274,0.13643181953622974,0.,0.15991213376410418,0.,0.2758382635050078,0.,0.,0.,0.15502313718160296,0.13676944459006102,0.1501797944461623,0.,0.1949598782116594,0.,0.,0.,0.,0.
"mTORi",1.,0.,0.,1.,1.,0.,0.,0.,0.,0.,1.,0.,1.,0.,1.,0.,0.9999999993167502,0.,0.,0.,0.,1.,0.,0.,0.9999998586224853,0.,1.,0.,0.,1.,1.
"Predicted Selectiviy",0.3571657526886649,0.3528038674882156,0.34189442052581287,0.3356669657963307,0.3250520292266139,0.31907319546853885,0.31223997071931586,0.3093303928352211,0.3069321647900759,0.3058332601131065,0.2945342656418769,0.2884775268483689,0.28613895243277754,0.28461984967398113,0.284350969088777,0.2840449212291384,0.2827380628738738,0.2820229629888972,0.28148695503156596,0.28003451982356176,0.27937279407622195,0.1273886968337149,0.12259189197470954,0.12231065345296444,0.12212721602433596,0.1217598676238365,0.12067121104292955,0.11716908656968039,0.11505974961111765,0.10887499765599196,0.10773487110576863
